날짜,종가,오픈,고가,저가,거래량,변동 %
2021-01-25,437.3,427.64,437.96,427.17,231.21M,2.38%
2021-01-22,427.13,430.73,433.84,427.13,269.26M,-0.73%
2021-01-21,430.27,425.29,431.05,424.64,302.48M,1.48%
2021-01-20,424.01,425.17,429.39,419.27,259.50M,0.63%
2021-01-19,421.35,410.21,423.82,409.67,259.93M,2.64%
2021-01-18,410.5,419.7,419.7,408.69,289.24M,-2.36%
2021-01-15,420.43,430.37,436.35,420.33,279.52M,-2.19%
2021-01-14,429.85,430.43,431.54,427.13,284.70M,-0.12%
2021-01-13,430.38,427.98,433.27,424.97,303.67M,0.59%
2021-01-12,427.87,430.8,432.04,416.29,362.36M,-0.76%
2021-01-11,431.13,431.69,449.04,424.16,545.78M,0.21%
2021-01-08,430.22,412.06,431.99,412.06,499.11M,4.72%
2021-01-07,410.81,404,414.65,403.99,460.33M,2.17%
2021-01-06,402.08,406.33,411.21,401.06,429.08M,-0.97%
2021-01-05,406.03,399.79,406.03,396.43,470.87M,1.54%
2021-01-04,399.88,389.5,400.78,388.88,361.89M,2.72%
